"particle_count", "avg_time_taken"
"2", "0.101460220166667"
"3", "0.177859719527778"
"4", "0.274670443705556"
"5", "0.352329982188889"
"6", "0.428781267183333"
"7", "0.527582613794444"
"8", "0.679703671627777"
"9", "0.777355819311111"
"10", "0.964941241022222"
"20", "2.14480645474445"
"30", "4.01832389597222"
"40", "5.52613459871667"
"50", "6.92225228562222"
"60", "10.7967267823667"
"70", "10.6656437220308"
"80", "12.2936960778167"
"90", "13.8274148431167"
"100", "18.4032246938611"
"200", "40.04944887585"
"300", "68.4957554786778"
"400", "63.1892524085566"
